Manuel Ortiz,99,28,3,male,163cm,164cm,orthodox,USA,40.77%,
Benny Goldberg,38,2,2,male,165cm,None,southpaw,USA,37.21%,
Frenchy Savidan,22,20,15,male,None,None,None,USA,15.79%,
Serio Mendoza,29,20,18,male,None,None,None,USA,20.90%,
General Padilla,19,46,15,male,None,None,None,Philippines,6.25%,
Pablo Dano,114,57,39,male,155cm,None,None,Philippines,17.54%,
Tony Navarro,7,10,10,male,None,None,None,USA,18.52%,
Richie Lemos,55,23,3,male,165cm,None,None,USA,32.10%,
David Kui Kong Young,70,17,12,male,160cm,None,southpaw,USA,41.41%,
Bernie Reyes,7,4,2,male,None,None,None,Mexico,15.38%,
Small Montana,81,22,10,male,157cm,147cm,orthodox,Philippines,9.65%,
Donnie Maes,30,29,10,male,163cm,None,None,USA,14.29%,
Jackie Jurich,60,13,9,male,None,None,None,,26.83%,
Tommy Cobb,26,19,10,male,157cm,None,None,USA,9.09%,
Lou Salica,62,17,12,male,163cm,169cm,None,USA,14.29%,
Horace Mann,32,18,10,male,163cm,None,None,USA,5%,
Elwood Romero,30,31,17,male,None,None,None,USA,25.64%,
Little Dado,70,6,11,male,157cm,150cm,orthodox,Philippines,25.29%,
Andy Vasquez,20,16,11,male,None,None,None,USA,10.64%,
Panchito Villa,58,26,3,male,None,None,southpaw,Mexico,35.23%,
Rush Dalma,35,10,15,male,,None,None,Philippines,6.67%,
Joe Robleto,30,40,9,male,None,None,,USA,16.46%,
Lupe Cordoza,14,13,7,male,None,None,None,USA,11.76%,
Carlos Chavez,70,37,10,male,163cm,163cm,orthodox,USA,17.95%,
Lou Transparenti,35,32,1,male,164cm,168cm,None,USA,14.71%,
Tony Olivera,76,28,16,male,166cm,None,None,USA,25.83%,
Johnny Grady,26,11,3,male,None,None,None,USA,7.50%,
Kenny Lindsay,17,19,9,male,165cm,168cm,None,Canada,17.78%,
Leonardo Lopez,38,38,6,male,,None,None,Mexico,15.66%,
Bobby Carroll,13,5,0,male,163cm,None,None,USA,22.22%,
Nat Corum,13,31,13,male,160cm,None,None,USA,8.77%,
George Freitas,19,14,6,male,None,None,None,USA,10.26%,
Pedro Ramirez,21,29,4,male,None,None,None,Mexico,14.81%,
Fillo Gonzalez,9,16,2,male,None,None,None,Mexico,11.11%,
Ernesto Aguilar,41,30,11,male,None,None,,Mexico,13.10%,
Larry Bolvin,44,17,2,male,163cm,None,None,USA,30.16%,
Willie Pep,229,11,1,male,165cm,173cm,orthodox,USA,26.97%,
Enrique Bolanos,79,22,5,male,173cm,185cm,orthodox,USA,41.51%,
Luis Castillo,97,73,12,male,150cm,155cm,orthodox,Mexico,21.86%,
Lorenzo Safora,33,32,4,male,None,None,,Cuba,15.94%,
Jose Gonzalez,0,4,0,male,None,None,None,USA,0%,
Bert White,28,26,5,male,None,None,None,USA,6.78%,
Horace Leftwich,27,30,7,male,147cm,None,None,USA,17.19%,
Jose Andreas,16,22,4,male,None,None,None,USA,21.43%,
Proctor Heinhold,37,33,3,male,None,None,None,USA,20.55%,
Eli Golindo,23,16,2,male,None,None,None,Mexico,9.76%,
Harold Dade,38,32,6,male,165cm,174cm,orthodox,USA,10.53%,
Manny Ortega,35,14,1,male,None,None,orthodox,USA,44%,
Joey Dolan,46,13,3,male,174cm,175cm,orthodox,USA,24.19%,
Henry Davis,51,24,5,male,168cm,None,None,USA,21.25%,
Memo Valero,41,24,0,male,None,None,None,Mexico,21.54%,
Lauro Salas,92,58,13,male,168cm,171cm,orthodox,Mexico,27.44%,
Buddy Jacklich,26,8,3,male,164cm,None,orthodox,USA,24.32%,
Maxie Docusen,77,6,3,male,168cm,None,None,USA,31.40%,
Jose Cardenas,14,19,3,male,None,None,None,,5.56%,
Dado Marino,57,15,3,male,157cm,163cm,orthodox,USA,28%,
Baby Mickey,15,19,3,male,None,None,None,Mexico,10.81%,
Pinky Peralta,8,16,2,male,None,None,None,,19.23%,
Tony Vazquez,38,14,3,male,None,None,None,Mexico,38.18%,
Jimmy Cooper,44,29,5,male,None,None,None,USA,32.05%,
Ronnie Clayton,80,26,8,male,None,None,None,United Kingdom,42.98%,
Jackie Paterson,63,25,3,male,161cm,160cm,None,United Kingdom,43.96%,
Theo Medina,92,45,14,male,161cm,None,orthodox,France,20.39%,
Vic Toweel,28,3,1,male,165cm,175cm,None,South Africa,43.75%,
Jackie McCoy,34,12,5,male,None,None,orthodox,USA,17.65%,
Eddie Chavez,61,12,3,male,None,None,None,USA,25%,
Bonnie Espinosa,21,14,3,male,None,None,None,Philippines,7.89%,
Jackie Graves,82,11,2,male,171cm,165cm,southpaw,USA,50.53%,
Manuel Hernandez,20,23,2,male,179cm,,orthodox,Mexico,28.89%,
Papelero Sanchez,5,17,1,male,None,None,None,Mexico,4.35%,
Enrique Esqueda,69,31,2,male,None,None,None,,49.51%,
Roberto Duran,103,16,0,male,170cm,,orthodox,Panama,58.82%,
Carlos Mendoza,49,19,5,male,,None,orthodox,Panama,52.70%,
Manuel Jimenez,0,5,1,male,None,None,None,Dominican Republic,0%,
Juan Gondola,4,20,2,male,None,None,None,Panama,11.54%,
Eddie Chavez,61,12,3,male,None,None,None,USA,25%,
Bonnie Espinosa,21,14,3,male,None,None,None,Philippines,7.89%,
Jackie Graves,82,11,2,male,171cm,165cm,southpaw,USA,50.53%,
Manuel Hernandez,20,23,2,male,179cm,,orthodox,Mexico,28.89%,
Papelero Sanchez,5,17,1,male,None,None,None,Mexico,4.35%,
Enrique Esqueda,69,31,2,male,None,None,None,,49.51%,
Roberto Duran,103,16,0,male,170cm,,orthodox,Panama,58.82%,
Carlos Mendoza,49,19,5,male,,None,orthodox,Panama,52.70%,
Manuel Jimenez,0,5,1,male,None,None,None,Dominican Republic,0%,
Juan Gondola,4,20,2,male,None,None,None,Panama,11.54%,
Eduardo Bartolome Morales,28,4,0,male,,None,orthodox,Argentina,68.75%,
Enrique Jacobo,0,1,0,male,None,None,None,Panama,0%,
Leroy Carghill,7,12,2,male,None,None,,Panama,4.76%,
Carlos Howard,0,2,1,male,None,None,None,Panama,0%,
George Foreman,76,5,0,male,191cm,,orthodox,USA,83.95%,
